1|0|1|5|9|u|0|_|a|1|5|9
1|0|1|3|8|u|0|_|a|1|3|8
1|0|2|9|4|u|0|_|a|2|9|4
1|2|1|3|4|u|0|_|a|2|1|3|4
1|0|1|6|4|u|0|_|a|1|6|4
1|0|2|7|5|u|0|_|a|2|7|5
1|0|2|6|1|u|0|_|a|2|6|1
1|0|2|5|9|u|0|_|a|2|5|9
1|0|2|4|3|u|0|_|a|2|4|3
1|0|2|4|7|u|0|_|a|2|4|7
1|0|3|7|7|u|0|_|a|3|7|7
1|0|2|9|3|u|0|_|a|2|9|3
1|0|8|1|3|u|0|_|a|8|1|3
1|0|1|3|6|u|0|_|a|1|3|6
1|0|1|7|8|u|0|_|a|1|7|8
1|0|2|5|5|u|0|_|a|2|5|5
1|0|3|1|9|u|0|_|a|3|1|9
1|0|3|5|5|u|0|_|a|3|5|5
1|0|4|7|0|u|0|_|a|4|7|0
1|0|3|0|3|u|0|_|a|3|0|3
1|1|4|1|1|u|0|_|a|1|4|1|1
1|0|7|5|3|u|0|_|a|7|5|3
1|0|3|8|3|u|0|_|a|3|8|3
1|0|5|4|8|u|0|_|a|5|4|8
1|0|2|1|7|u|0|_|a|2|1|7
1|0|3|3|7|u|0|_|a|3|3|7
1|0|5|4|7|u|0|_|a|5|4|7
1|0|5|5|7|u|0|_|a|5|5|7
1|0|3|7|0|u|0|_|a|3|7|0
1-0-3-1-3-u-0-_-a-3-1-3
1|0|3|0|8|u|0|_|a|3|0|8
1|0|1|3|8|u|0|_|a|1|3|8
1|0|2|0|7|u|0|_|a|2|0|7
1|0|1|4|3|u|0|_|a|1|4|3
1|0|2|0|3|u|0|_|a|2|0|3
1|0|2|6|9|u|0|_|a|2|6|9
1|0|3|5|0|u|0|_|a|3|5|0
1|0|1|6|3|u|0|_|a|1|6|3
1|0|3|0|9|u|0|_|a|3|0|9
1|0|5|6|2|u|0|_|a|5|6|2
1|0|5|6|2|u|0|_|a|5|6|2
1|0|5|6|2|u|0|_|a|5|6|2
1|0|4|1|0|u|0|_|a|4|1|0
1|0|4|1|0|u|0|_|a|4|1|0
1|0|3|1|3|u|0|_|a|3|1|3
1|0|2|3|1|u|0|_|a|2|3|1
1|0|1|3|9|u|0|_|a|1|3|9
1|1|5|1|0|u|0|_|a|1|5|1|0
1|0|2|5|6|u|0|_|a|2|5|6
1|0|4|7|5|u|0|_|a|4|7|5
1|0|2|8|3|u|0|_|a|2|8|3
1|0|1|6|6|u|0|_|a|1|6|6
1|0|3|2|4|u|0|_|a|3|2|4
1|0|3|1|8|u|0|_|a|3|1|8
1|2|5|6|0|u|0|_|a|2|5|6|0
